Name,City,Category,Type,Tags,Attaché Note,Website,Lat,Long,Country,Formatted Address
Abu Hassan,Tel Aviv-Yafo,Food,Restaurant,"Food, Restaurant",,https://m.facebook.com/pages/Abu-Hassan/396398840415380,32.0494446,34.757403,Israel,"Shivtei Israel St 14, Tel Aviv-Yafo, Israel"
Adega Dom Luis,Lisboa,Food,Restaurant,"Food, Restaurant",,https://m.facebook.com/AdegaDomLuis,38.716494,-9.150584,Portugal,"Rua Luís Fernandes 24, 1200-244 Lisboa, Portugal"
"Affiches anciennes et originales Elbé Paris, France | Vintage poster shop  - Paris France",Paris,Food,Art gallery,Food,,https://www.elbe.paris/,48.8567735,2.3245412,France,"213 bis Bd Saint-Germain, 75007 Paris, France"
after-words bookstore,Chicago,Food,Book store,Food,"Independent bookstore offering a wide selection of new & used titles in vast, industrial-chic digs.",http://after-wordschicago.com/,41.8906659,-87.6271006,,
Afuri ramen + dumpling LA,Los Angeles,Food,Japanese restaurant,"Food, Restaurant",,http://afuriramen.com/,34.0351919,-118.232228,,
Aguachiles El Tamarindo,Oakland,Food,Mexican restaurant,"Food, Restaurant",,https://m.facebook.com/aguachileseltamarindo/,37.7779773,-122.2270887,,
Ajiacos y Mondongos,El Poblado,Food,Restaurant,"Food, Restaurant",,,6.2088198,-75.5707067,Colombia,"Cl. 8 #4259, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia"
Ajo y Oregano,Bronx,Food,Dominican restaurant,"Family Friendly, Food, Restaurant","Colorful, family-owned eatery for traditional style Dominican plates in low-key surrounds.",https://www.ajoyoregano.com/,40.8395622,-73.8636238,,
Al Akkawi Star Cafeteria,Al Danah,Food,Restaurant,"Food, Restaurant",,,24.4894276,54.3616042,United Arab Emirates,E6 - Al Danah - E6 - Abu Dhabi - United Arab Emirates
Al Banosh Seafood & Local Restaurant - Al Wasl,Al Jaddaf,Food,Seafood restaurant,"Food, Restaurant",,,25.2174724,55.3153729,United Arab Emirates,6888+X4 - Al Jaddaf - Dubai - United Arab Emirates
AL DENTE,London,Food,Italian restaurant,"Food, Restaurant",Compact Italian eatery with an open kitchen focused on handcrafted pasta with fine wines.,http://www.pastificioaldente.com/,51.5191178,-0.136044,United Kingdom,"51 Goodge St, London W1T 1TG, UK"
Al Fareej Restaurant,Al Twar,Food,Persian restaurant,"Food, Restaurant",,https://alfareejrestaurant.com/,25.2716834,55.3658941,United Arab Emirates,12 Al Nahda St - Al Twar - Al Twar 1 - Dubai - United Arab Emirates
Al Jawahar Restaurant DaryaGanj,Old Dariya Ganj,Food,North Indian restaurant,"Food, Restaurant",,http://www.aljawaharrestaurant.com/,28.6465853,77.2401291,India,"3710, Netaji Subhash Marg, Old Dariya Ganj, Daryaganj, New Delhi, Delhi, 110002, India"
Alaus Biblioteka | Beer Library,Vilnius,Food,Pub,Food,,http://www.alausbiblioteka.lt/,54.6800361,25.2786785,Lithuania,"Trakų g. 4, 01132 Vilnius, Lithuania"
Alby's Leith,Edinburgh,Food,Sandwich shop,Food,,http://albysleith.co.uk/,55.9778701,-3.1803917,United Kingdom,"6 Portland Pl, Edinburgh EH6 6LA, UK"
Alby's Southside,Edinburgh,Food,Sandwich shop,Food,,https://albysleith.co.uk/,55.9416985,-3.18387,United Kingdom,"94 Buccleuch St, Edinburgh EH8 9NH, UK"
Alem's Coffee,Oakland,Food,Coffee shop,"Coffee, Food",,https://alemscoffee.wixsite.com/site,37.840417,-122.2597172,,
Amboy Quality Meats & Delicious Burgers,Los Angeles,Food,Hamburger restaurant,"Food, Restaurant","Casual Filipino restaurant featuring a small selection of grilled meats, vegetables & bean dishes.",https://amboyqmdb.square.site/#2,34.0613942,-118.2396286,,
Amorcito,Long Beach,Food,Restaurant,"Food, Restaurant",,https://www.eatamorcito.com/,33.82925,-118.1449345,,
Andrew Freedman Home,Bronx,Food,Historical landmark,Food,,http://theafh.org/,40.8329594,-73.9201953,,
Angelo's Pizzeria,Philadelphia,Food,Pizza restaurant,"Food, Restaurant",Heimy,https://www.angelospizzeriasouthphiladelphia.com/,39.9406572,-75.1576747,,
Angler,Los Angeles,Food,Permanently closed,Food,Refined live fire restaurant with premium wines & cocktails located in the Beverly Center.,,34.0748256,-118.3768276,,
Animo,Sonoma,Food,Permanently closed,Food,Heimy,,38.3034386,-122.4771406,,
antica caffetteria trastevere,Roma,Food,Cafe,"Coffee, Food",,,41.8748715,12.4660881,Italy,"Viale di Trastevere, 285, 00153 Roma RM, Italy"
Antica Pizza Fritta da Zia Esterina Sorbillo Spaccanapoli,Napoli,Food,Pizza restaurant,"Food, Restaurant",,http://www.sorbillo.it/,40.8487421,14.2560898,Italy,"Via Nilo, 26 Ang, Piazzetta Nilo, 14, 80134 Napoli NA, Italy"
Antica Pizzeria Di Matteo,Napoli,Food,Pizza restaurant,"Food, Restaurant","Pizza & wine offered in an unassuming eatery with a bustling vibe, plus a take-out option.",http://www.anticapizzeriadimatteo.it/,40.8512512,14.2579677,Italy,"Via dei Tribunali, 94, 80138 Napoli NA, Italy"
Antica Pizzeria Port’Alba,Napoli,Food,Pizza restaurant,"Food, Restaurant","Informal venue from the 18th century, serving Neapolitan pizza, pasta & seafood dishes.",https://www.anticapizzeriaportalba.com/,40.849372,14.251753,Italy,"Via Port'Alba, 18, 80134 Napoli NA, Italy"
Apoteka Bar,Vilnius,Food,Cocktail bar,"Bar, Food",,https://www.apotekabar.lt/,54.6753967,25.2850443,Lithuania,"Visų Šventųjų g. 5, 01306 Vilnius, Lithuania"
arán bakery budapest,VII. kerület,Food,Bakery,"Bakery, Food",,https://aranbakery.hu/,47.4980142,19.0646837,Hungary,"Budapest, Nagy Diófa u. 19, 1072 Hungary"
Ardfern,Edinburgh,Food,Cafe,"Coffee, Food",,https://ardfern.uk/,55.9726426,-3.1759407,United Kingdom,"10-12 Bonnington Rd, Edinburgh EH6 5JD, UK"
Arnaud Larher,Paris,Food,Patisserie,Food,"Traditional-style patisserie with sugary counters of macaroons, desserts & chocolate.",https://arnaudlarher.com/,48.852144,2.337172,France,"93 Rue de Seine, 75006 Paris, France"
Arthur Avenue Retail Market,Bronx,Food,Produce market,"Food, Market","Sizable Italian market featuring cured meats, cheeses, breads & pastries, plus a low-key cafe.",http://www.arthuravenuebronx.com/,40.8542194,-73.8882583,,
Artizán Bakery,V. kerület,Food,Bakery,"Bakery, Food",Artisanal breads & pastries served in a laid-back cafe with understated decor & a cozy vibe.,http://artizan.hu/,47.503782,19.0528592,Hungary,"Budapest, Hold u. 3, 1054 Hungary"
Asilomar State Beach,Pacific Grove,Food,Public beach,Food,"Tranquil place featuring a 1-mi. stretch of sandy beach & rocky coves, along with a walking trail.",http://www.parks.ca.gov/?page_id=566,36.6180088,-121.9419115,,
Atelier Coupette,London,Food,Restaurant,"Food, Restaurant",,https://coupette.co.uk/atelier-coupette-soho,51.51346,-0.1301142,United Kingdom,"11 Old Compton St, London W1D 5JF, UK"
Au Bourguignon du Marais,,Food,French restaurant,"Food, Restaurant","Escargot, beef bourguignon & other traditional Burgundy cuisine in a polished restaurant.",http://aubourguignondumarais.fr/?utm_source=gmb,48.8554413,2.3575828,,
Au Vieux Saint Martin,Bruxelles,Food,Belgian restaurant,"Food, Outdoor Seating, Restaurant","Enduring restaurant with colorful art & a heated patio, serving Belgian cuisine since 1968.",http://www.auvieuxsaintmartin.be/,50.8408556,4.3544056,Belgium,"Place du Grand Sablon 38, 1000 Bruxelles, Belgium"
Augustas & Barbora love story café,Vilnius,Food,Cafe,"Coffee, Food",,https://www.facebook.com/augustasirbarbora/,54.6800395,25.2864202,Lithuania,"Stiklių g. 7, Vilnius, 01131 Vilniaus m. sav., Lithuania"
Australia Dairy Company,,Food,Cha chaan teng (Hong Kong-style cafe),"Coffee, Food",,https://australia-dairy-company.shop/,22.304628,114.1705439,Hong Kong,"47號 Parkes St, Jordan, Hong Kong"
Avant Comptoir de la Terre,Paris,Food,Tapas bar,"Bar, Food","Meaty French sharing plates & a long wine list in a compact, modern bar at an upmarket  hotel.",https://camdeborde.com/les-restaurants/avant-comptoir-de-la-terre,48.8520234,2.338782,France,"3 Carr de l'Odéon, 75006 Paris, France"
Back A Yard Caribbean Grill,San Jose,Food,Jamaican restaurant,"Food, Restaurant",,https://backayard.net/restaurantmenu/,37.2998843,-121.824297,,
Back A Yard Caribbean Grill,Menlo Park,Food,Jamaican restaurant,"Food, Restaurant",This casual counter-service spot offers a hybrid of American & Caribbean dishes in a colorful space.,https://backayard.net/,37.4727298,-122.1550698,,
Backstage Cafe Vokiečių str.,Vilnius,Food,Coffee shop,"Coffee, Food",,http://backstageroasters.com/,54.6783953,25.2850281,Lithuania,"Vokiečių g. 6, 01130 Vilnius, Lithuania"
Bæjarins Beztu Pylsur,Reykjavík,Food,Hot dog stand,Food,Signature hot dogs are cooked up at this renowned little food stand dating to 1937.,http://www.bbp.is/,64.1482785,-21.937986,Iceland,"Tryggvagata 1, 101 Reykjavík, Iceland"
Bagel Pub,Brooklyn,Food,Bagel shop,Food,,http://www.bagelpub.com/,40.6722452,-73.9571387,,
Bait El Khetyar -Najdah,Al Danah,Food,Restaurant,"Food, Restaurant",,https://instagram.com/bait_elkhetyar?igshid=10znek65gpr2j,24.4881968,54.371303,United Arab Emirates,414 Fatima Bint Mubarak St - Al Danah - E4 02 - Abu Dhabi - United Arab Emirates
Balık Ekmek,Kadıköy,Food,Fish restaurant,"Food, Restaurant",,,40.9899894,29.0245445,Türkiye,"Caferağa, Mukadderhane Cd. No:53, 34710 Kadıköy/İstanbul, Türkiye"
Balıkçı Lokantası,Kadıköy,Food,Fish restaurant,"Food, Restaurant",,,40.9937629,29.0257168,Türkiye,"Rasimpaşa, Tayyareci Sami Sk. No:20/10, 34716 Kadıköy/İstanbul, Türkiye"
Bar La Campana,Centro,Food,Restaurant,"Food, Restaurant","No-frills urban tavern known for fried calamari sandwiches, plus classic tapas dishes & sangria.",https://www.instagram.com/lacampana.oficial/?hl=es,40.4149117,-3.7068219,Spain,"Pl. Mayor, 4, Centro, 28012 Madrid, Spain"
Bar Leone,,Food,Cocktail bar,"Bar, Food",,http://www.barleonehk.com/,22.2835262,114.151134,Hong Kong,"15 Bridges St, Central, Hong Kong"
Bar Ludeña,Toledo,Food,Bar & grill,"Bar, Food","Meaty Spanish stews, plus grills & ham platters, in an unpretentious, traditional-style setting.",https://www.facebook.com/pages/Bar-Lude%C3%B1a/183425291672508,39.8586612,-4.0222678,Spain,"Pl. de la Magdalena, 10, 45001 Toledo, Spain"
Bar Sakamachi,8,Food,Bar,"Bar, Food",,,34.6676825,135.5036236,Japan,"1-chōme-8-8-9 Sennichimae, Chuo Ward, Osaka, 542-0074, Japan"
Bara's Deli,San Leandro,Food,Deli,Food,"Long-standing market with a deli counter for made-to-order sandwiches & prepared foods, plus liquor.",http://barasdeli.com/,37.6967974,-122.1395181,,
Barc,Kathmandu,Food,Cocktail bar,"Bar, Food",,http://www.barc.com.np/,27.6916829,85.316893,Nepal,"M8R8+MQ Kathmandu, Nepal"
Bathtub Gin,New York,Food,Bar,"Bar, Food",Small plates are paired with gin-based cocktails at this speakeasy-style bar.,http://www.bathtubginnyc.com/,40.7435711,-74.0031575,,
Bathtub Gin & Co.,Seattle,Food,Bar,"Bar, Food",Prohibition-era cocktails & international gin menu in the basement boiler room of a former hotel.,http://bathtubginseattle.com/,47.6131423,-122.3450608,,
BEATNIK,Edinburgh,Food,Coffee shop,"Coffee, Food",,https://beatnik.cafe/,55.9427843,-3.2012512,United Kingdom,"2 Brougham Pl, Edinburgh EH3 9HW, UK"
Beatstro,Bronx,Food,New American restaurant,"Food, Restaurant, Trendy","Trendy restaurant dishing up Southern & Puerto Rican comfort foods, plus brunch staples & cocktails.",https://www.beatstro.com/,40.807346,-73.927521,,
BEEP Akihabara,9,Food,Used game store,Food,,http://www.akihabara-beep.com/,35.7015109,139.7708645,Japan,"Japan, 〒101-0021 Tokyo, Chiyoda City, Sotokanda, 3-chōme−9−８ 中栄ビル B1"
Ben's Chili Bowl,Washington,Food,American restaurant,"Food, Historic, Restaurant","Historic chain eatery that's famous for its spicy hot dogs, chili-cheese fries & milkshakes.",https://benschilibowl.com/,38.9172189,-77.0287629,,
Berthillon,Paris,Food,Ice cream shop,Food,"Iconic tea room serving ice creams, sorbets & pastries amid quaint, wood-paneled surroundings.",http://www.berthillon.fr/,48.8517232,2.3567354,France,"31 Rue Saint-Louis en l'Île, 75004 Paris, France"
Bertinet Bakery,Bath,Food,Bakery,"Bakery, Food",,https://www.bertinetbakery.com/,51.3829376,-2.3603855,United Kingdom,"1 New Bond St Pl, Bath BA1 1BH, UK"
Best Bagel & Coffee,New York,Food,Bagel shop,Food,"Straightforward, neighborhood outpost for grab-&-go bagels, sandwiches & java drinks.",http://www.bestbagelandcoffee.com/,40.7522252,-73.9911099,,
Bic Camera Namba Store,10,Food,Electronics store,Food,,https://www.biccamera.com/bc/i/shop/shoplist/shop013.jsp?ref=gmb,34.6666726,135.5025827,Japan,"2-chōme-10-1 Sennichimae, Chuo Ward, Osaka, 542-0074, Japan"
Birrieria Gomez,Lennox,Food,Taco restaurant,"Food, Restaurant","Tacos, burritos & combo plates dished up in a straightforward, cash-only food truck.",https://instagram.com/birrieria_gomez?igshid=1nn76xghq7kpe,33.938978,-118.3698556,,
Bistro Freddie,London,Food,Restaurant,"Food, Restaurant",,https://www.bistrofreddie.com/,51.5242121,-0.0815926,United Kingdom,"74 Luke St, London EC2A 4PY, UK"
Bistrot Des Tournelles,Paris,Food,French restaurant,"Food, Restaurant",,https://www.bistrotdestournelles.com/,48.8541221,2.3675819,France,"6 Rue des Tournelles, 75004 Paris, France"
Bistrot Paul Bert,Paris,Food,Bistro,"Food, Historic",Old-fashioned operation with tiled walls offering traditional beef dishes & seafood.,https://bistrotpaulbert.fr/,48.8522102,2.3850177,France,"18 Rue Paul Bert, 75011 Paris, France"
Blandford Comptoir,London,Food,Restaurant,"Food, Restaurant",Italian-influenced dishes served alongside a 300-bottle wine list in an intimate dining room.,http://blandford-comptoir.co.uk/,51.5182186,-0.151818,United Kingdom,"1 Blandford St, London W1U 3DA, UK"
Blue Note Tokyo,3,Food,Jazz club,Food,"Sophisticated, dark jazz club offering a refined, seasonal menu of French-inspired dishes.",http://www.bluenote.co.jp/,35.6612139,139.7162296,Japan,"6-chōme-3-16 Minamiaoyama, Minato City, Tokyo 107-0062, Japan"
Blues Heaven Foundation,Chicago,Food,Foundation,Food,,http://bluesheaven.com/,41.8536228,-87.6240227,,
Bobo bistro,Cannes,Food,Bistro,Food,"Arty, vintage-style eatery focusing on seasonal specialties made from locally sourced ingredients.",http://www.bobobistro.com/,43.5511428,7.0230813,France,"21 Rue du Commandant André, 06400 Cannes, France"
Boeing NB-52B Mothership 008,,Food,Restaurant,"Food, Restaurant",,,,,,
Books Kinokuniya Umeda honten,1,Food,Book store,Food,Japanese-based retailer known for its collection of Asian books & magazines.,https://store.kinokuniya.co.jp/store/umeda-main-store,34.7050641,135.49843,Japan,"Japan, 〒530-0012 Osaka, Kita Ward, Shibata, 1-chōme−1−２ 阪急梅田駅2階中央改札内中央精算機コーナー横"
BOULANGERIE FRED Boulogne s/Mer,Boulogne-sur-Mer,Food,Bakery,"Bakery, Food",,https://sophie-lebreuilly.com/,50.722481,1.604482,France,"9 Rue de la Lampe, 62200 Boulogne-sur-Mer, France"
Brennecke's Beach Broiler,Poipu,Food,Seafood restaurant,"Food, Restaurant, View","Pupu platters, ahi tuna burgers & more seafood at a casual, beachfront space with vista views.",http://www.brenneckes.com/,21.8738766,-159.4534307,,
Brew Str - Athens Beer Shop!,Athina,Food,Beer store,Food,,,37.9728692,23.7329947,Greece,"Nikis 50Α, Athina 105 58, Greece"
Brilliant Corners,London,Food,Japanese restaurant,"Food, Restaurant","Low-lit bar/restaurant for cocktails, Japanese small plates and DJ sessions on an audiophile system.",http://brilliantcornerslondon.co.uk/,51.5430543,-0.0759088,United Kingdom,"470 Kingsland Rd, London E8 4AE, UK"
Bronx County - Civil Court,Bronx,Food,County court,Food,,https://www.nycourts.gov/courts/nyc/civil/addresses.shtml,40.8261601,-73.9235087,,
Bubba Burgers Poipu,Koloa,Food,Hamburger restaurant,"Food, Restaurant","Local chain for teriyaki burgers, fries & milkshakes has a casual, counter-serve space with a porch.",http://bubbaburger.com/,21.8830224,-159.4691944,,
Bun House,London,Food,Chinese restaurant,"Food, Restaurant",Fluffy steamed buns are prepared Cantonese-style at this laid-back eatery with takeout options.,https://bun.house/,51.5117607,-0.1298613,United Kingdom,"26-27 Lisle St, London WC2H 7BA, UK"
Burgermeister Alexanderplatz,Mitte,Food,Hamburger restaurant,"Food, Outdoor Seating, Restaurant","Casual counter-serve destination for fast-food-style burgers & fries, with outdoor tables.",http://www.burgermeister.com/,52.5203627,13.4131421,Germany,"Dircksenstraße 113, 10178 Berlin, Germany"
Cable-car station Santo Domingo,La Esperanza,Food,Transportation service,Food,,https://www.metrodemedellin.gov.co/,6.2930743,-75.5417326,Colombia,"Cr 32 #106a-28, La Esperanza, Medellín, Popular, Medellín, Antioquia, Colombia"
Cabullo,Roma,Food,Sandwich shop,Food,,https://www.cabullo.it/,41.8896472,12.4724134,Italy,"Via della Lungaretta, 93, 00153 Roma RM, Italy"
Cafe 100,Hilo,Food,Hawaiian restaurant,"Food, Restaurant","Walk-up eatery serving 30 loco moco varieties, plus pupu platters, burgers & other island classics.",https://cafe100.com/,19.7144284,-155.0771913,,
Cafe Gratitude,Los Angeles,Food,Vegan restaurant,"Food, Restaurant","Locally sourced, organic vegan food & drinks served in a laid-back, spacious cafe.",https://cafegratitude.com/pages/larchmont,34.0828568,-118.3238698,,
Café Schwarzenberg,Innere Stadt,Food,Cafe,"Coffee, Food","Established, traditional cafe for specialty coffee & tea, pastries, classic food, concerts & events.",http://www.cafe-schwarzenberg.at/,48.2017943,16.3738665,Austria,"Kärntner Ring 17, 1010 Wien, Austria"
Cal Pep,Ciutat Vella,Food,Tapas restaurant,"Food, Restaurant","Sharing plates of seafood & fish, served in a dining room with exposed bricks or at counter seats.",https://www.calpep.com/,41.3839621,2.1834106,Spain,"Carrer d'En Tripó, 3, Ciutat Vella, 08003 Barcelona, Spain"
Can Noble Gelats Artesans,Pollença,Food,Ice cream shop,Food,,https://www.facebook.com/pages/Helader%C3%ADa-Can-Noble/864535947225902,39.8773807,3.0160639,Spain,"Carrer del Temple, 13, 07460 Pollença, Illes Balears, Spain"
Can Vermut,Maó,Food,Tavern,Food,,http://www.canvermut.com/,39.8907331,4.2733608,Spain,"Moll de Llevant, 175, 07701 Maó, Illes Balears, Spain"
Cantinho do Aziz,Lisboa,Food,African restaurant,"Food, Restaurant","Low-key eatery dishing up African dishes, including vegetarian meals, seafood & desserts.",http://www.cantinhodoaziz.com/,38.7142087,-9.1357441,Portugal,"R. das Fontainhas A São Lourenço 5, 1100-246 Lisboa, Portugal"
Car park,Sóller,Food,Parking lot,"Food, Nature",,,39.7671524,2.7099783,Spain,"Camí de Can Pitera, 13, 07100 Sóller, Illes Balears, Spain"
Carmel Market,Tel Aviv-Yafo,Food,Building,Food,,,32.068683,34.769047,Israel,"HaCarmel St 35, Tel Aviv-Yafo, Israel"
Carnes De La 10,Guayabal,Food,Restaurant,"Food, Restaurant",,,6.2145955,-75.5819668,Colombia,"Cra. 52 #9a25, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia"
Carnitas Don Claudio,Las Vegas,Food,Mexican restaurant,"Food, Restaurant",,,36.2023821,-115.2232349,,
Carnitas TADEO,Centro,Food,Taco restaurant,"Food, Restaurant",,,23.445512,-110.2250288,Mexico,"Santos Degollado 35, Centro, 23880 Centro, B.C.S., Mexico"
"Carrer Rodríguez de la Fuente, 15",Muro,Food,Restaurant,"Food, Restaurant",,,39.8085577,3.1171448,Spain,"Carrer Rodríguez de la Fuente, 15, 07458 Muro, Illes Balears, Spain"
Casserole Et Bouchons,Le Touquet-Paris-Plage,Food,French restaurant,"Food, Restaurant",,https://le-touquet-paris-plage.casseroleetbouchons.fr/,50.5246112,1.5827212,France,"10 Rue Saint-Jean, 62520 Le Touquet-Paris-Plage, France"
Cat Street,,Food,Market,"Food, Market","Bustling street dotted with an array of vendors selling antiques, art & souvenirs.",https://www.cat-street.hk/,22.2851261,114.1493694,Hong Kong,"21 Tung St, Sheung Wan, Hong Kong"
Cello's Pizzeria,New York,Food,Pizza restaurant,"Food, Restaurant",,http://www.cellosnyc.com/,40.7286439,-73.9881729,,
Central market Hall of Budapest,IX. kerület,Food,Grocery store,Food,,,47.4866926,19.0588063,Hungary,"Budapest, Fővám tér 8, 1093 Hungary"
Cervo's,New York,Food,Seafood restaurant,"Food, Restaurant",Coastal Spain & Portugal inspire the cooking at this crisp oyster bar & seafood specialist.,http://cervosnyc.com/,40.7148624,-73.9913446,,
Champ's Deli Restaurant,Signal Hill,Food,Sandwich shop,Food,Heimy,,33.8042369,-118.1545819,,
Chelsea Bagel & Cafe,New York,Food,Bakery,"Bakery, Food, Historic","Local deli with a jumbo menu of hot & cold sandwiches & salads, plus hand-rolled bagels.",http://www.chelseabagelpizza.com/,40.7471937,-73.9821163,,
Cheung Fat Noodles,,Food,Restaurant,"Food, Restaurant",,,22.3314994,114.1654915,Hong Kong,"14號 Yiu Tung St, Shek Kip Mei, Hong Kong"
Chez Georges,Paris,Food,Wine bar,"Bar, Food, Wine","Convivial bar serving up wine by the glass & platters of cheese in a snug, brick-lined cellar.",http://barchezgeorges.eatbu.com/,48.8521802,2.3337848,France,"11 Rue des Canettes, 75006 Paris, France"
Chez Janou,Paris,Food,Bistro,Food,"Mellow option serving Provençal-style dishes in a convivial setting, plus an extensive pastis list.",http://www.chezjanou.com/,48.8567159,2.3671983,France,"2 Rue Roger Verlomme, 75003 Paris, France"
Chez l'Ami Louis,Paris,Food,French restaurant,"Food, Restaurant",Heimy,,48.8670892,2.3581584,France,"32 Rue du Vertbois, 75003 Paris, France"
Chez Marianne,Paris,Food,Israeli restaurant,"Food, Restaurant","Hummus, falafels & homemade halva in an unfussy Middle Eastern establishment with sidewalk tables.",http://www.chezmarianne.fr/,48.8578056,2.3587433,France,"2 Parv. des 260 Enfants, 75004 Paris, France"
Chico's Taqueria.,,Food,Restaurant,"Food, Restaurant",,,,,,
Chinen Shokai,Tonoshiro,Food,Grocery store,Food,https://youtu.be/QqqGwFWkBug?si=SVUlqlocn_c9Islu,,24.3458467,124.1666631,Japan,"1249-18 Tonoshiro, Ishigaki, Okinawa 907-0004, Japan"
Chisholm Larsson Gallery,New York,Food,Poster store,Food,Established resource for a vast selection of original vintage posters from around the world.,http://www.chisholm-poster.com/,40.7419253,-74.0012387,,
Chuen Kee Seafood Restaurant,,Food,Seafood restaurant,"Food, Restaurant",,https://www.facebook.com/ChuenKee.main/,22.380738,114.273243,Hong Kong,"Siu Yat Building Block A, Shop 1+2, G/F, Sai Kung Town Villa Block A, Sai Kung Hoi Pong Square, Sai Kung, Hong Kong"
Chukfo Taipan Restaurant (Wan Chai),,Food,Cha chaan teng (Hong Kong-style cafe),"Coffee, Food",,,22.2762154,114.1743343,Hong Kong,"Hong Kong, Wan Chai, Triangle St, 2-3號, Wah Yan Court, 地下3號舖"
Clarette,London,Food,Modern French restaurant,"Food, Restaurant",A Francophile wine list accompanies a similarly-influenced food menu at this Art Deco-esque bar.,http://www.clarettelondon.com/,51.518574,-0.153751,United Kingdom,"44 Blandford St, London W1U 7HS, UK"
Claro Fish Jr.,Campo de Golf Fonatur,Food,Seafood restaurant,"Food, Restaurant",,,23.0556988,-109.6933435,Mexico,"Blvd. Antonio Mijares s/n, Campo de Golf Fonatur, 23400 San José del Cabo, B.C.S., Mexico"
Clos Maggiore,London,Food,Modern European restaurant,"Food, Restaurant","Modern French restaurant with notable wine list, flower-filled conservatory and log fire.",http://www.closmaggiore.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,51.5116945,-0.1247301,United Kingdom,"Garrick House, 33 King St, London WC2E 8SB, UK"
Coffee No.4,Fatih,Food,Coffee shop,"Coffee, Food",,,41.0091161,28.9751967,Türkiye,"Alemdar, Molla Feneri Sk. No:6, 34110 Fatih/İstanbul, Türkiye"
Colima Taqueria,Bronx,Food,Mexican restaurant,"Food, Restaurant",,https://instagram.com/colimataqueria?igshid=YmMyMTA2M2Y=,40.8551904,-73.8873653,,
Corniche Beach,Al Bateen,Food,Beach,Food,City beach with international clean-water status & ropes limited the available swimming distance.,,24.4723657,54.3365336,United Arab Emirates,F8CP+QXQ - Al Bateen - W10 01 - Abu Dhabi - United Arab Emirates
